text,frequency
technology,73
science,57
global issues,50
culture,49
design,42
business,35
entertainment,30
health,24
innovation,23
society,22
art,22
social change,22
future,20
communication,19
biology,19
creativity,19
humanity,18
collaboration,17
environment,17
economics,16
medicine,16
brain,16
activism,16
education,15
community,15
history,15
children,14
TED Fellows,14
invention,14
music,14
health care,13
politics,13
cities,12
psychology,12
storytelling,12
performance,12
women,12
nature,12
identity,11
war,11
computers,11
engineering,11
life,11
animals,11
Africa,11
humor,11
exploration,10
personal growth,10
data,9
inequality,9
